OPPONENT_TEAM_ID,OPPONENT_TEAM_NAME,PERIOD,REMAIN_TIME,DIST,ANGLE,COMBINED_SHOT_TYPE_Jump Shot,COMBINED_SHOT_TYPE_Layup,COMBINED_SHOT_TYPE_Dunk,COMBINED_SHOT_TYPE_Hook Shot,COMBINED_SHOT_TYPE_Bank Shot,INTERCEPT,CLUSTER
1610612737,ATL,-0.03848299805595971,0.05086268410585044,-0.4479198574998456,0.022348368032031943,-0.14902486469309656,-0.044172334226595215,0.13754595778198356,-0.02390417315576605,0.031030069698576083,-0.11808859846393108,3
1610612738,BOS,-0.0011697557779908295,0.03327620702008042,-0.35162876403646026,0.02506901593094718,-0.2165145375554385,0.002936536117072264,0.1628693975887568,-0.06765755353747542,0.05930590665352565,-0.16530403429920762,2
1610612739,CLE,-0.024527774142498,0.030323563183219895,-0.24190667106972505,-0.018221939416613583,-0.24073587871973,0.033131678840191164,0.1591863955151439,-0.046766620850972766,0.014125846939982612,-0.05643983399732616,1
1610612740,NOP,-0.02592049080909201,0.028251128264486024,-0.27110345425761784,0.01875489490573264,-0.2268256759732015,0.028047665494911698,0.14916872643967397,-0.04643904168531147,0.050377314861694965,-0.11700813147943613,1
1610612741,CHI,-0.01349163848949585,0.03524876107501377,-0.3639510889621589,0.002917205515684545,-0.20566501703304071,-0.01952033066293246,0.1656287572469061,-0.041288817934368206,0.033751747062281984,-0.110506845605175,2
1610612742,DAL,-0.018525255725280302,0.01681346304203701,-0.3633972837617364,0.03602786533964748,-0.2006860599707906,0.015368476899132281,0.14120878207320406,-0.04246736588463768,0.016083382057064194,-0.0976427053485859,2
1610612743,DEN,-0.05674418625605986,0.01217240706707578,-0.4262804299389072,0.017735751117575936,-0.17235213729377918,0.0017176146073669552,0.13258487666646693,-0.05110168221220993,0.013005306647312446,-0.13166631500091547,3
1610612744,GSW,-0.023611099883406636,0.03514298151591256,-0.10255188118013014,0.0004893520071808334,-0.27785500600983315,0.05065757900949083,0.16337798745368123,-0.012186256798710994,0.03336563007380566,-0.17837168762746106,4
1610612745,HOU,-0.023283223600291936,0.01802710121977044,-0.3383183250946629,-0.007755585833537245,-0.2574841512053574,0.035497908588980755,0.17061672945679407,-0.05436143136175483,0.022587087595263976,-0.10762162620380886,2
1610612746,LAC,-0.010466775522234635,0.007226549869143861,-0.27389457403515644,0.008949604825818415,-0.22354547788070456,0.007579032304892091,0.16637412049839617,-0.06182300290158325,0.02697600441472402,-0.15506247524723635,1
1610612747,LAL,-0.036077528655248325,0.032875989036193216,-0.35269299632367984,0.022208004676161245,-0.18963445683953964,0.014391177895462766,0.1376641494702514,-0.06321626976431058,0.03334464914225768,-0.13777916978693566,2
1610612748,MIA,-0.018107041825985288,0.016131668617727298,-0.3274017131066719,-0.012332793530985974,-0.19025667712829056,-0.023883661916173086,0.15226656255252582,-0.03165506496113327,0.06418160203525435,-0.17931921061150216,0
1610612749,MIL,-0.022281477310016243,0.026908089553379404,-0.3410911504821967,0.0005943990024529892,-0.17110214692272865,-0.025004371936936318,0.14211763165827415,-0.038706074231432866,0.054832410308047766,-0.1568221177751376,0
1610612750,MIN,0.007278510356423964,0.01700749902423938,-0.2427725509348185,-0.0013555044875487214,-0.2460642941090672,0.00393867400717181,0.17484132294671262,-0.02630305690355424,0.03588105508944287,-0.06880783702899251,1
1610612751,BKN,0.003360403454009498,0.014269333105090829,-0.3974820276529816,-0.008072952236518766,-0.1591165132737912,-0.02546659213330013,0.13866049112260467,-0.03967343105882566,0.007413706939925898,-0.11208950528916944,3
1610612752,NYK,-0.015115901114441256,0.024801183475062057,-0.2939666645313703,-0.008775811905894628,-0.18702320597365132,-0.007541543892498597,0.13795323137902346,-0.016178874476476937,0.03651611081005853,-0.1432166621365707,0
1610612753,ORL,-0.032363535731251315,0.0278491043930696,-0.3939508816562928,-0.0026792324962437303,-0.17780396245460414,-0.002400633436442541,0.1328760094832592,-0.03874967039272989,0.04617423607237788,-0.12185026436941655,3
1610612754,IND,-0.03422863377540874,0.024372563427242155,-0.40467818408652545,0.013287755322981315,-0.18551629924374294,-0.0230936021284496,0.14860630798381455,-0.0214785928744799,0.034578309319787184,-0.15929815756858334,3
1610612755,PHI,-0.010616580478229509,0.00891238977050239,-0.3418611907808789,-0.028141636652137515,-0.2036375070752785,-0.015611719751737403,0.15627731673286818,-0.026395654066310458,0.0504437835779706,-0.14950530074313953,0
1610612756,PHX,-0.010622367119132621,0.021046963635051832,-0.2604760982452517,0.0057200446165257155,-0.20917871401930152,0.006686806584204674,0.15611940957851475,-0.06033234510663914,0.030090870223179068,-0.08225716351992296,1
1610612757,POR,-0.022072431275422508,0.045670707780847385,-0.3006445344198974,0.016606826141517796,-0.16316657369242202,-0.012543438412217674,0.13173205560866824,-0.055463706899194234,0.06390357957052907,-0.14543600408637958,0
1610612758,SAC,-0.02291717687101056,0.04566396925669668,-0.33152836982344824,0.0009232981749359783,-0.21646978394764155,0.032392207919927744,0.14037234051109765,-0.04898461161761962,0.04260879912384012,-0.09167356830145403,2
1610612759,SAS,-0.007564188105273717,0.005183446621436431,-0.3745018305702065,0.022870051153503143,-0.16127526662949632,-0.031540190905265456,0.14700872294810496,-0.0545927898273716,0.017431691884086747,-0.14467903156040562,3
1610612760,OKC,-0.02246945426963921,0.017161559130209558,-0.31556674278116237,-0.019684873828293408,-0.18173919134447872,0.015188751823178982,0.12685080820100644,-0.04368427121111093,0.030661780632797193,-0.18445984009849425,0
1610612761,TOR,-0.02669209551877937,0.0483578872943699,-0.3481818855802651,0.017978019806535996,-0.16878305992522605,-0.01626677912795234,0.1455099456871659,-0.0693264130069365,0.02317083571006298,-0.1817941924276419,2
1610612762,UTA,-0.00577653737324122,0.028131495855171683,-0.211742028109522,-0.00982859782551041,-0.1994338002664428,0.011904817486543746,0.14761226722185644,-0.06737291402469182,0.029858356752585108,-0.17064442074939734,1
1610612763,MEM,-0.017641800080591387,0.02531065448929962,-0.3584378336153716,0.013848632360024985,-0.18615444344857893,-0.006463095950027779,0.14765239450938003,-0.05656316726616245,0.028334031384086557,-0.13057265439950258,2
1610612764,WAS,-0.04287333314398063,-0.0179865961965663,-0.2578977586389094,-0.03271678305218115,-0.2424445150801751,0.0013013101671658304,0.16629076465809683,-0.01781273725607424,0.0948057150991348,-0.07707403019616305,1
1610612765,DET,-0.05874085817924232,0.019753231927091573,-0.3669671107024748,-0.018993385691591404,-0.20425671949869886,0.01889358212650761,0.1411690230635369,-0.05378157048339882,0.04921532873948768,-0.10268582932495372,2
1610612766,CHA,-0.025351095970016668,0.005104412522800718,-0.30729788787806056,0.013001194001332523,-0.2075042533862781,-0.003567561918840153,0.15483987533650304,-0.03528554558502761,0.03494648483404135,-0.08842646355927537,0
